491433	ukr	Приходь до мене.
10830418	ron	Am încercat să-i spun asta, dar nu a vrut să mă asculte.
694709	pes	شیر سرشار از کلسیم نیز هست.
9726723	lit	Labai ačiū! Aš tiesiog neturiu žodžių, kaip išreikšti dėkingumą.
3109149	ina	Malayalam es un palindromo.
703919	nld	Waar kan ik ticketten kopen voor het theater?
5414293	epo	Papiamento kaj la kaboverda kreola havas parencecon.
8795071	vie	Vào những ngày trời quang mây tạnh, bạn có thể nhìn thấy núi Phú Sĩ từ xa.
2153644	lit	Ne visi žmonės yra pikti velniai.
7861987	ita	Tom non lo può fare per Mary.
2465194	ell	Έμαθα πολλά από σένα.
420166	cmn	我们大概去了，不过要看天气怎么样再决定。
3217701	fin	Hän kirjaili omat nimikirjaimensa valkoiseen nenäliinaan.
10936304	swc	Wa somi wa kipolishi wana fanya utafiti mu Africa.
1123520	tlh	waq tuQ 'e' par be'Hom Qup.
4479970	bul	Не знам какво друго има за обсъждане.
2040751	heb	יש לכם פתגם דומה ביפנית?
9167724	nld	Kunnen we iets regelen?
10684060	dan	Filmen er blevet lækket.
392252	cmn	这是839号房间。
2262828	heb	ספר לי משהו שאינני יודע.
4993547	epo	Tio kostas tre multe.
8714956	rus	Он очень удивился.
6713155	por	Obrigado de antemão pela ajuda.
8717190	ukr	Капітулюйте!
8830735	lit	Jis atsisakė gyvūną užmušti.
1289587	lat	Estne therotrophium in hortis publicis?
1354030	deu	Dieser Knopf ist locker.
336661	cmn	她对自己的才能很自豪。
10989054	mar	अल्जेरियात मला एकटं सोडून जाऊ नकोस.
9361054	lfn	Нос иа скриве мулте.
10355410	cmn	湯姆肯定不止三十了。
2460014	epo	Ni dancas.
2668931	fin	Olitko sinä kiireinen?
10980833	swc	Nasikia usingizi sana.
8440038	eng	I don't yet know how many days I'm going to be here.
7329551	pes	تلویزیون را خاموش کنیم.
11170562	ron	Engleza mea nu este suficient de bună pentru a explica problema mea.
1391712	lat	Num aqua tibi emenda est?
10850038	hau	Ina sa ran a biya ni wannan aikin gobe.
3505845	epo	Ĉu vi havas la impreson, ke niaj politikistoj estas tro maljunaj?
3986694	nld	Die vertaling is geen cent waard.
10982810	swc	Bahati haina kitu yoyote ya kufanya.
2523329	ber	Ur t-neḥwaj.
3017341	hun	Kérlek, ne habozzál feltenni nekem bármilyen kérdést.
1003002	spa	Ayer no jugaron tenis porque llovió.
10847875	hau	Ba wani abin da za mu iya yi wajen juya aukuwar yanayin.
3197263	ina	Prentice lege mille vices plus que io.
6744229	ita	"Di che nazionalità sono i suoi genitori?" "Scozzese."
9951101	lfn	La xica es tro timida.
8504580	lat	Recordarisne nomen meum?
